x,y,z
475,200,3495.530481364297
475,250,3801.0402434124044
475,300,4050.6598945486758
475,350,4261.710302396964
475,400,4444.530481364299
475,450,4605.789307733053
475,500,4750.040243412405
475,550,4880.531087451093
475,600,4999.659894548676
475,650,5109.247773880193
475,700,5210.710302396964
475,750,5305.169656596782
475,800,5393.530481364299
475,850,5476.532717710869
475,900,5554.789307733053
475,950,5628.81369162226
475,1000,5699.040243412405
475,1050,5765.839715581341
475,1100,5829.531087451093
475,1150,5890.390777662403
475,1200,5948.659894548676
475,1250,6004.55000546051
475,1300,6058.247773880193
475,1350,6109.91872091743
475,1400,6159.710302396964
475,1450,6207.754445740363
500,0,0
500,50,1645.3544069692434
500,100,2644.3544069692434
500,150,3228.731945189679
500,200,3643.3544069692434
500,250,3964.9605737617194
500,300,4227.731945189679
500,350,4449.901974104791
500,400,4642.354406969244
500,450,4812.109483410114
500,500,4963.960573761719
500,550,5101.326593987905
500,600,5226.731945189679
500,650,5342.093685392195
500,700,5448.901974104791
500,750,5548.338111982154
500,800,5641.354406969244
500,850,5728.729785378334
500,900,5811.109483410114
500,950,5889.033992899386
500,1000,5962.960573761719
500,1050,6033.279512325226
500,1100,6100.326593987905
500,1150,6164.392801070199
500,1200,6225.731945189679
500,1250,6284.566740554193
500,1300,6341.093685392195
500,1350,6395.487021630549
500,1400,6447.901974104791
500,1450,6498.4774211016875
525,0,0
525,50,1691.3778228705532
525,100,2740.3778228705532
525,150,3354.003486127045
525,200,3789.3778228705532
525,250,4127.080394407396
525,300,4403.003486127047
525,350,4636.2931361089795
525,400,4838.377822870554
525,450,5016.62914938354
525,500,5176.080394407396
525,550,5320.321590821077
525,600,5452.003486127047
525,650,5573.139087200558
525,700,5685.2931361089795
525,750,5789.706057663889
525,800,5887.377822870554
525,850,5979.126343342159
525,900,6065.62914938354
525,950,6147.453784472875
525,1000,6225.080394407396
525,1050,6298.918799365472
525,1100,6369.321590821077
525,1150,6436.59431477436
525,1200,6501.003486127047
525,1250,6562.78296594424
525,1300,6622.139087200558
525,1350,6679.2548126400325
525,1400,6734.2931361089795
525,1450,6787.399886759376
550,0,0
550,50,1735.6863701273978
550,100,2834.686370127398
550,150,3477.5601584199476
550,200,3933.686370127398
550,250,4287.485346408608
550,300,4576.5601584199485
550,350,4820.969429468705
550,400,5032.686370127398
550,450,5219.433946712499
550,500,5386.485346408608
550,550,5537.601719009786
550,600,5675.5601584199485
550,650,5802.469620364458
550,700,5919.969429468705
550,750,6029.359134701159
550,800,6131.686370127398
550,850,6227.808032661522
550,900,6318.433946712499
550,950,6404.158707401899
550,1000,6485.485346408608
550,1050,6562.843217761256
550,1100,6636.601719009786
550,1150,6707.080959834055
550,1200,6774.5601584199485
550,1250,6839.28432268982
550,1300,6901.469620364458
550,1350,6961.30773500505
550,1400,7018.969429468705
550,1450,7074.607483772599
575,0,0
575,50,1778.3579100520774
575,100,2927.3579100520774
575,150,3599.479823380685
575,200,4076.3579100520765
575,250,4446.253291077657
575,300,4748.479823380687
575,350,5004.008715496264
575,400,5225.357910052078
575,450,5420.601736709295
575,500,5595.253291077657
575,550,5753.244839866331
575,600,5897.479823380687
575,650,6030.1631461961915
575,700,6153.008715496264
575,750,6267.375204406266
575,800,6374.357910052078
575,850,6474.852714648718
575,900,6569.601736709295
575,950,6659.226622998758
575,1000,6744.253291077657
575,1050,6825.1306288248725
575,1100,6902.244839866331
575,1150,6975.930597561584
575,1200,7046.479823380687
575,1250,7114.148672103236
575,1300,7179.1631461961915
575,1350,7241.723650037902
575,1400,7302.008715496264
575,1450,7360.178073453657
600,0,0
600,50,1819.4635385518695
600,100,3018.4635385518695
600,150,3719.833576916536
600,200,4217.4635385518695
600,250,4603.455324321817
600,300,4918.833576916536
600,350,5185.482090098937
600,400,5416.4635385518695
600,450,5620.2036152812025
600,500,5802.455324321817
600,550,5967.322049297988
600,600,6117.833576916536
600,650,6256.290760603038
600,700,6384.482090098937
600,750,6503.8253626864835
600,800,6615.4635385518695
600,850,6720.331485211026
600,900,6819.2036152812025
600,950,6912.728627170728
600,1000,7001.455324321817
600,1050,7085.852128463604
600,1100,7166.322049297988
600,1150,7243.214323864228
600,1200,7316.833576916536
600,1250,7387.447110091764
600,1300,7455.290760603038
600,1350,7520.573653645869
600,1400,7583.482090098937
600,1450,7644.182751709827
625,0,0
625,50,1859.0684314306764
625,100,3108.0684314306754
625,150,3838.6865948314
625,200,4357.068431430675
625,250,4759.1566219449915
625,300,5087.686594831402
625,350,5365.454729080625
625,400,5606.068431430677
625,450,5818.304758232124
625,500,6008.1566219449915
625,550,6179.89852310866
625,600,6336.686594831402
625,650,6480.9176393889
625,700,6614.454729080625
625,750,6738.774785345716
625,800,6855.068431430677
625,850,6964.309520152351
625,900,7067.304758232124
625,950,7164.7298957217145
625,1000,7257.1566219449915
625,1050,7345.0728924813475
625,1100,7428.89852310866
625,1150,7508.997314545885
625,1200,7585.686594831402
625,1250,7659.2448124593075
625,1300,7729.9176393889
625,1350,7797.922921632849
625,1400,7863.454729080625
625,1450,7926.686694345014
650,0,0
650,50,1897.2325544641708
650,100,3196.232554464171
650,150,3956.098842900953
650,200,4495.232554464171
650,250,4913.417149722855
650,300,5255.098842900953
650,350,5543.986598216999
650,400,5794.232554464171
650,450,6014.965131337735
650,500,6212.417149722855
650,550,6391.034227074019
650,600,6554.098842900953
650,650,6704.1037483294485
650,700,6842.986598216999
650,750,6972.283438159636
650,800,7093.232554464171
650,850,7206.846785248362
650,900,7313.965131337735
650,950,7415.2903944273885
650,1000,7511.417149722855
650,1050,7602.852886653781
650,1100,7690.034227074019
650,1150,7773.33953538223
650,1200,7853.098842900953
650,1250,7929.601744981538
650,1300,8003.1037483294485
650,1350,8073.831419774518
650,1400,8141.986598216999
650,1450,8207.749867134888
675,0,0
675,50,1934.0112642558852
675,100,3283.0112642558843
675,150,4072.1256777287244
675,200,4632.011264255884
675,250,5066.292264258937
675,300,5421.125677728726
675,350,5721.133054111594
675,400,5981.011264255886
675,450,6210.240091201565
675,500,6415.292264258937
675,550,6600.784517797599
675,600,6770.125677728726
675,650,6925.904444028217
675,700,7070.133054111594
675,750,7204.406677731776
675,800,7330.011264255886
675,850,7447.998637102594
675,900,7559.240091201565
675,950,7664.4654798912825
675,1000,7764.292264258937
675,1050,7859.247467584432
675,1100,7949.784517797599
675,1150,8036.296342976796
675,1200,8119.125677728726
675,1250,8198.573264261988
675,1300,8274.904444028216
675,1350,8348.354504674404
675,1400,8419.133054111593
675,1450,8487.42762668298
700,0,0
700,50,1969.4558201003774
700,100,3368.4558201003774
700,150,4186.818358609274
700,200,4767.455820100377
700,250,5217.833224847797
700,300,5585.8183586092755
700,350,5896.945356058965
700,400,6166.455820100377
700,450,6404.180897118174
700,500,6616.833224847797
700,550,6809.200654573956
700,600,6984.8183586092755
700,650,7146.370985779765
700,700,7295.945356058965
700,750,7435.195763356695
700,800,7565.455820100377
700,850,7687.816335009603
700,900,7803.180897118174
700,950,7912.306411407954
700,1000,8015.833224847797
700,1050,8114.3078945678635
700,1100,8208.200654573957
700,1150,8297.91899662414
700,1200,8383.818358609275
700,1250,8466.210629595218
700,1300,8545.370985779766
700,1350,8621.54343562707
700,1400,8694.945356058965
700,1450,8765.771232283849
725,0,0
725,50,2003.613822744509
725,100,3452.613822744508
725,150,4300.224486289464
725,200,4901.613822744508
725,250,5368.0876322362965
725,300,5749.224486289466
725,350,6071.471104805978
725,400,6350.61382274451
725,450,6596.83514983442
725,500,6817.0876322362965
725,550,7016.3302381499525
725,600,7198.224486289466
725,650,7365.55097433095
725,700,7520.471104805978
725,750,7664.698295781252
725,800,7799.61382274451
725,850,7926.347479716251
725,900,8045.83514983442
725,950,8158.8607897242655
725,1000,8266.087632236296
725,1050,8368.081768350932
725,1100,8465.330238149952
725,1150,8558.25509707112
725,1200,8647.224486289466
725,1250,8732.561441728085
725,1300,8814.55097433095
725,1350,8893.445813379376
725,1400,8969.471104805978
725,1450,9042.82828468436
750,0,0
750,50,2036.5295926494964
750,100,3535.5295926494964
750,150,4412.3883812305085
750,200,5034.529592649496
750,250,5517.099806885653
750,300,5911.38838123051
750,350,6244.754620813845
750,400,6533.529592649498
750,450,6788.247169811524
750,500,7016.099806885653
750,550,7222.217588986805
750,600,7410.38838123051
750,650,7583.4887301429935
750,700,7743.754620813845
750,750,7892.958595466665
750,800,8032.529592649498
750,850,8163.636391683756
750,900,8287.247169811524
750,950,8404.172935301433
750,1000,8515.099806885653
750,1050,8620.613409394859
750,1100,8721.217588986805
750,1150,8817.34896477896
750,1200,8909.38838123051
750,1250,8997.670021121809
750,1300,9082.488730142994
750,1350,9164.105958392536
750,1400,9242.754620813845
750,1450,9318.643104345727
775,0,0
775,50,2068.244497835646
775,100,3617.244497835646
775,150,4523.351411452718
775,200,5166.244497835646
775,250,5664.911116816172
775,300,6072.35141145272
775,350,6416.837272102876
775,400,6715.244497835648
775,450,6978.45832506979
775,500,7213.911116816172
775,550,7426.904075104821
775,600,7621.35141145272
775,650,7800.225621236198
775,700,7965.837272102876
775,750,8120.018030433242
775,800,8264.244497835647
775,850,8399.724438932422
775,900,8527.45832506979
775,950,8648.284216159762
775,1000,8762.911116816173
775,1050,8871.944185719945
775,1100,8975.90407510482
775,1150,9075.24196776796
775,1200,9170.35141145272
775,1250,9261.577735796694
775,1300,9349.225621236197
775,1350,9433.56523868686
775,1400,9514.837272102875
775,1450,9593.257059288255
800,0,0
800,50,2098.7972394402295
800,100,3697.7972394402295
800,150,4633.152278093357
800,200,5296.7972394402295
800,250,5811.560263165122
800,300,6232.152278093359
800,350,6587.75775981034
800,400,6895.797239440231
800,450,7167.507316746487
800,500,7410.560263165122
800,550,7630.428397641268
800,600,7831.152278093359
800,650,8015.8003487478345
800,700,8186.75775981034
800,750,8345.915301818251
800,800,8494.797239440231
800,850,8634.650322599522
800,900,8766.507316746487
800,950,8891.233333436523
800,1000,9009.560263165122
800,1050,9122.112798463468
800,1100,9229.428397641268
800,1150,9331.972807175393
