x,y,z
700,1300,2388.215
700,1350,2443.915
700,1400,2497.589
700,1450,2549.379
725,0,0
725,50,97.563
725,100,201.77
725,150,305.349
725,200,411.183
725,250,493.275
725,300,618.926
725,350,732.569
725,400,831.011
725,450,917.842
725,500,995.516
725,550,1118.663
725,600,1247.082
725,650,1365.215
725,700,1474.589
725,750,1576.414
725,800,1671.665
725,850,1761.139
725,900,1845.498
725,950,1925.295
725,1000,2000.997
725,1050,2073.006
725,1100,2141.663
725,1150,2207.269
725,1200,2270.082
725,1250,2330.33
725,1300,2388.215
725,1350,2443.915
725,1400,2497.589
725,1450,2549.379
750,0,0
750,50,97.563
750,100,201.77
750,150,305.349
750,200,411.183
750,250,493.275
750,300,618.926
750,350,732.569
750,400,831.011
750,450,917.842
750,500,995.516
750,550,1118.663
750,600,1247.082
750,650,1365.215
750,700,1474.589
750,750,1576.414
750,800,1671.665
750,850,1761.139
750,900,1845.498
750,950,1925.295
750,1000,2000.997
750,1050,2073.006
750,1100,2141.663
750,1150,2207.269
750,1200,2270.082
750,1250,2330.33
750,1300,2388.215
750,1350,2443.915
750,1400,2497.589
750,1450,2549.379
775,0,0
775,50,97.563
775,100,201.77
775,150,305.349
775,200,411.183
775,250,493.275
775,300,618.926
775,350,732.569
775,400,831.011
775,450,917.842
775,500,995.516
775,550,1118.663
775,600,1247.082
775,650,1365.215
775,700,1474.589
775,750,1576.414
775,800,1671.665
775,850,1761.139
775,900,1845.498
775,950,1925.295
775,1000,2000.997
775,1050,2073.006
775,1100,2141.663
775,1150,2207.269
775,1200,2270.082
775,1250,2330.33
775,1300,2388.215
775,1350,2443.915
775,1400,2497.589
775,1450,2549.379
800,0,0
800,50,97.563
800,100,201.77
800,150,305.349
800,200,411.183
800,250,493.275
800,300,618.926
800,350,732.569
800,400,831.011
800,450,917.842
800,500,995.516
800,550,1118.663
800,600,1247.082
800,650,1365.215
800,700,1474.589
800,750,1576.414
800,800,1671.665
800,850,1761.139
800,900,1845.498
800,950,1925.295
800,1000,2000.997
800,1050,2073.006
800,1100,2141.663
800,1150,2207.269
800,1200,2270.082
800,1250,2330.33
800,1300,2388.215
800,1350,2443.915
800,1400,2497.589
800,1450,2549.379
825,0,0
825,50,97.563
825,100,201.77
825,150,305.349
825,200,411.183
825,250,493.275
825,300,618.926
825,350,732.569
825,400,831.011
825,450,917.842
825,500,995.516
825,550,1118.663
825,600,1247.082
825,650,1365.215
825,700,1474.589
825,750,1576.414
825,800,1671.665
825,850,1761.139
825,900,1845.498
825,950,1925.295
825,1000,2000.997
825,1050,2073.006
825,1100,2141.663
825,1150,2207.269
825,1200,2270.082
825,1250,2330.33
825,1300,2388.215
825,1350,2443.915
825,1400,2497.589
825,1450,2549.379
850,0,0
850,50,97.563
850,100,201.77
850,150,305.349
850,200,411.183
850,250,493.275
850,300,618.926
850,350,732.569
850,400,831.011
850,450,917.842
850,500,995.516
850,550,1118.663
850,600,1247.082
850,650,1365.215
850,700,1474.589
850,750,1576.414
850,800,1671.665
850,850,1761.139
850,900,1845.498
850,950,1925.295
850,1000,2000.997
850,1050,2073.006
850,1100,2141.663
850,1150,2207.269
850,1200,2270.082
850,1250,2330.33
850,1300,2388.215
850,1350,2443.915
850,1400,2497.589
850,1450,2549.379
875,0,0
875,50,97.563
875,100,201.77
875,150,305.349
875,200,411.183
875,250,493.275
875,300,618.926
875,350,732.569
875,400,831.011
875,450,917.842
875,500,995.516
875,550,1118.663
875,600,1247.082
875,650,1365.215
875,700,1474.589
875,750,1576.414
875,800,1671.665
875,850,1761.139
875,900,1845.498
875,950,1925.295
875,1000,2000.997
875,1050,2073.006
875,1100,2141.663
875,1150,2207.269
875,1200,2270.082
875,1250,2330.33
875,1300,2388.215
875,1350,2443.915
875,1400,2497.589
875,1450,2549.379
900,0,0
900,50,97.563
900,100,201.77
900,150,305.349
900,200,411.183
900,250,493.275
900,300,618.926
900,350,732.569
900,400,831.011
900,450,917.842
900,500,995.516
900,550,1118.663
900,600,1247.082
900,650,1365.215
900,700,1474.589
900,750,1576.414
900,800,1671.665
900,850,1761.139
900,900,1845.498
900,950,1925.295
900,1000,2000.997
